ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
239	l + e t e g k	6 75	hair (head)	2648	Abipon	l+etegk	_:poss hair	Guaicuruan	l + e t e g k	letegk			
240	None	304	mucus (nasal)	208	Abipon	kapi		Guaicuruan	k a p i	kapi			
241	l i g ʁ a t	6 305 9	penis	1222	Abipon	ligRat		Guaicuruan	l i g ʁ a t	ligRat			
242	None	1 306	cheek	1730	Abipon	n+ahak	_:pos ?	Guaicuruan	n + a h a k	n+ahak			
243	None	307	cheek	1730	Abipon	anar		Guaicuruan	a n a r	anar			
244	None	6 308	navel	1838	Abipon	l+ekam	_:poss ?	Guaicuruan	l + e k a m	l+ekam			
245	None	53 309	face	1560	Abipon	i+ahëk	_/i ?	Guaicuruan	i + a h e k	i+ahëk			
246	n + w e j a + ʁ a	1 310 3	body	1480	Abipon	n+oeia+Ra	_:pos ? _:nmlz	Guaicuruan	n + w e j a + ʁ a	n+oeia+Ra			
247	None	311	dream	1920	Abipon	ica		Guaicuruan	i tʃ a	ica			
248	n + w ai k	1 312	flesh	2259	Abipon	n+oaik	_:pos ?	Guaicuruan	n + w ai k	n+oaik			
249	None	313	flesh	2259	Abipon	pahe		Guaicuruan	p a h e	pahe			
250	None	6 75	body hair	189	Abipon	l+etegk	_:poss hair	Guaicuruan	l + e t e g k	l+etegk			
251	None	314 315 15 9	paddle (noun)	234	Abipon	ilik+at+Ran+Rat	? _:suf.v _:nmlz	Guaicuruan	i l i k + a t + ʁ a n + ʁ a t	ilik+at+Ran+Rat			
252	n a w a l n a	1 316 317	bed	1663	Abipon	naoalna		Guaicuruan	n a w a l n a	naoalna			
253	aː g ʁ a	318	arrow	977	Abipon	aagRa		Guaicuruan	aː g ʁ a	aagRa			
254	None	6 319	arrow	977	Abipon	l+anaRha	_:poss ?	Guaicuruan	l + a n a ʁ h a	l+anaRha			
255	None	320	arrow	977	Abipon	oata		Guaicuruan	w a t a	oata			
256	None	1 321 15 322	bow	994	Abipon	n+etel+Ran+Re	_:pos ? _:suf.v ?	Guaicuruan	n + e t e l + ʁ a n + ʁ e	n+etel+Ran+Re			T. fusil
257	None	323	bend	2004	Abipon	aoat		Guaicuruan	a w a t	aoat			
258	l + a h a m	6 324	door, gate	1567	Abipon	l+aham	_:poss door	Guaicuruan	l + a h a m	laham			
259	None	325	burn (vb intrans)	1428	Abipon	ahimag		Guaicuruan	a h i m a g	ahimag			
260	m a l a h i ɲ i	326 327 328	burn (vb intrans)	1428	Abipon	malahiñi		Guaicuruan	m a l a h i ɲ i	malahiñi			
261	ŋ k aː t e	1 329 330	burn (vb intrans)	1428	Abipon	nkaate		Guaicuruan	ŋ k aː t e	nkaate			
262	None	1 331 332	mat	195	Abipon	n+apat+a	_:pos ? ?	Guaicuruan	n + a p a t + a	n+apat+a			Juncos, paja, estera
263	h e p i g i n ʁ a ŋ k a t e	333 334 15 335	club	1763	Abipon	hepiginRankate		Guaicuruan	h e p i g i n ʁ a ŋ k a t e	hepiginRankate			Najlis said it comes from hepig: beat
264	n w a h i l a t e	1 336 335	club	1763	Abipon	noahilate		Guaicuruan	n w a h i l a t e	noahilate			Najlis: bastón, vara de justicia (justice club)
265	i w e l e	53 337	club	1763	Abipon	ioele		Guaicuruan	i w e l e	ioele			
266	None	1 338 3	fishhook	1074	Abipon	n+aon+Ra	_:pos ? _:nmlz	Guaicuruan	n + a o n + ʁ a	n+aon+Ra			
267	None	339 340	firewood	10	Abipon	ka+ëpaq		Guaicuruan	k a + e p a q	ka+ëpaq			
268	None	125 341	seven	1704	Abipon	iñoaka loahatahete	two ?	Guaicuruan	i ɲ w a k a + l w a h a t a h e t e	iñoaka loahatahete			
269	n a p j a ʁ a n ʁ a t	1 342 15 9	knife	1352	Abipon	napiaRanRat		Guaicuruan	n a p j a ʁ a n ʁ a t	napiaRanRat			
270	n i tʃ a ʁ a ʁ a n ʁ a t	1 343 15 9	knife	1352	Abipon	nicaRaRanRat		Guaicuruan	n i tʃ a ʁ a ʁ a n ʁ a t	nicaRaRanRat			
271	None	6 344	soul, spirit	811	Abipon	l+kihi	_:poss soul	Guaicuruan	l + k i h i	lkihi			Also shade, shade, echo, image. As mentioned before, the 'h' might be a glottal stop
272	None	6 345	soul, spirit	811	Abipon	l+oakal	_:poss soul	Guaicuruan	l + w a k a l	loakal			Also shade, shade, echo, image
273	None	344	soul, spirit	811	Abipon	ehal		Guaicuruan	e h a l	ehal			
274	n + e l a ʁ ei + ʁ a t	1 346 9	chief, chieftain	301	Abipon	n+elaRei+Rat	_:pos ? _:nmlz	Guaicuruan	n + e l a ʁ ei + ʁ a t	n+elaRei+Rat			cacique, noble, gobernannte
275	r e o k a t a r i	20 347 348	cry, weep	1839	Abipon	reokatari		Guaicuruan	r e o k a t a r i	reokatari			
276	None	349	steal	713	Abipon	etap		Guaicuruan	e t a p	etap			
277	n e m e l k	350	maize, corn	506	Abipon	nemelk		Guaicuruan	n e m e l k	nemelk			Also wheat
278	None	351 352	last	1529	Abipon	iñageh+ek		Guaicuruan	i ɲ a g e h + e k	iñageh+ek			
279	k a tʃ e r g ai + k	353 42 17	old man	406	Abipon	kacergaik	old _:masc	Guaicuruan	k a tʃ e r g ai + k	kacergaik			
280	i k a m e	53 354	old man	406	Abipon	ikame		Guaicuruan	i k a m e	ikame			
281	k e r e ʁ ai + k	354 355 17	old man	406	Abipon	kereRaik	old _:masc	Guaicuruan	k e r e ʁ ai + k	kereRaik			
282	l + a n a m + e r i + h e g e m + k a t + g r a tʃ a ʁ h a q a + a n a m + i tʃ i + r i + h e g e m	6 164 356 357 358 359	twenty	1710	Abipon	l+anam+erihegem kat gracaRhaqa anamicirihegem	_:3sg finish _:pl _:dir _:? feet _:3sg finish _:? _:pl _:dir	Guaicuruan	l + a n a m + e r i + h e g e m + k a t + g r a tʃ a ʁ h a q a + a n a m + i tʃ i + r i + h e g e m	lanamerihegem kat gracaRhaqa (?) anamicirihegem			
283	n p  e t e g k	1 360 75	tobacco	974	Abipon	npetegk		Guaicuruan	n p e t e g k	npetegk			
284	None	20 361 362	swamp	1145	Abipon	r+ili+ñi	_:3p ? ?	Guaicuruan	r + i l i + ɲ i	r+ili+ñi			vb
285	n + e t ei	1 363	canoe	1970	Abipon	n+etei	_:pos ?	Guaicuruan	n + e t ei	n+etei			
286	aː p a + ʁ a i k	364 365	cotton	1850	Abipon	aapa+Raik		Guaicuruan	aː p a + ʁ a i k	aapa+Raik			ropa de "raíz"
287	None	366	man (vs. woman)	1554	Abipon	ioale	male	Guaicuruan	i w a l e	ioale			
288	None	1 367 368	drum	908	Abipon	n+am+elge	_:pos ? ?	Guaicuruan	n + a m + e l g e	n+am+elge			De "golpear" (!)
289	n + aː m + a tʃ i t	1 369 370	first	728	Abipon	n+aam+acit	_:pos ? ?	Guaicuruan	n + aː m + a tʃ i t	n+aam+acit			aam: acabar, extremo
290	None	371 372	rainbow	1733	Abipon	oah+eta		Guaicuruan	w a h + e t a	oah+eta			
291	k + ai n + a p e k	17 373 374	rainbow	1733	Abipon	k+ain+apek	_:masc ? ?	Guaicuruan	k + ai n + a p e k	k+ain+apek			
292	None	375	open	1156	Abipon	ehot		Guaicuruan	e h o t	ehot			vb
293	n + w a h a + ʁ ai k a	1 376 377	hot	1286	Abipon	n+oaha+Raika	_:pos ? ?	Guaicuruan	n + w a h a + ʁ ai k a	n+oaha+Raika			
294	None	20 376	hot	1286	Abipon	r+pae	_:3p ?	Guaicuruan	r + p a e	r+pae			
295	None	378	cook	1100	Abipon	eoa		Guaicuruan	e w a	eoa			
296	n aː tʃ i	379	flay, skin	291	Abipon	naaci		Guaicuruan	n aː tʃ i	naaci			2° p, raiz aac
297	k eː + l a	380 381	flay, skin	291	Abipon	kee+la		Guaicuruan	k eː + l a	kee(la)			
298	a h a m + ʁ ai k	382 383	die, dead	2101	Abipon	aham+Raik		Guaicuruan	a h a m + ʁ ai k	aham+Raik			muero
299	r iː g a + r a ʁ i	383 384	die, dead	2101	Abipon	riiga+raRi		Guaicuruan	r iː g a + r a ʁ i	riiga+raRi			
300	e g a r g + ai k	385 383	die, dead	2101	Abipon	egarg-aik		Guaicuruan	e g a r g + ai k	egarg-aik			muerto
301	e l o + ʁ ai k	386 383	die, dead	2101	Abipon	elo+Raik		Guaicuruan	e l o + ʁ ai k	elo+Raik			muerto
302	None	386	die, dead	2101	Abipon	lac		Guaicuruan	l a tʃ	lac			
303	None	387	die, dead	2101	Abipon	oaoa		Guaicuruan	w a w a	oaoa			
304	k a tʃ e r g a j e	388 42 30	old woman	907	Abipon	kacergaie		Guaicuruan	k a tʃ e r g a j e	kacergaie			
305	k e r e ʁ a j e	389 390 30	old woman	907	Abipon	kereRaie		Guaicuruan	k e r e ʁ a j e	kereRaie			
306	None	297	cow	1007	Abipon	oaka		Guaicuruan	w a k a	oaka			
307	None	1 391 392 15 3	monkey	1350	Abipon	n+ici+kat+Ran+Ra	_:pos ? ? _:suf.v _:nmlz	Guaicuruan	n + i tʃ i + k a t + ʁ a n + ʁ a	n+ici+katRan(R)a			
308	None	393	monkey	1350	Abipon	micimic		Guaicuruan	m i tʃ i m i tʃ	micimic			mono chico
309	g r e j a g a l	394 395	lizard	632	Abipon	greiagal		Guaicuruan	g r e j a g a l	greiagal			
310	n i tʃ i ʁ a	1 396 3	nest	539	Abipon	niciRa		Guaicuruan	n i tʃ i ʁ a	niciRa			
311	None	6 396	nest	539	Abipon	l+patage	_:poss nest	Guaicuruan	l + p a t a g e	lpatage			
312	None	397	frog	503	Abipon	origetete		Guaicuruan	o r i g e t e t e	origetete			
313	None	278 366	cock, rooster	1511	Abipon	greterik ioale	hen male	Guaicuruan	g r e t e r i k + i w a l e	greterik ioale			
314	a h e r g ʁ a n ʁ ai + l a t e	398 399	pig	1337	Abipon	ahergRanRai+l+ate	boar _:poss mother	Guaicuruan	a h e r g ʁ a n ʁ ai + l a t e	ahergRanRailate			big
315	None	400	stingray	1910	Abipon	epaRañik		Guaicuruan	e p a ʁ a ɲ i k	epaRañik			
316	g r a h a j a + a k ai r e t a	401 402	herdsman	263	Abipon	grahaia akaireta		Guaicuruan	g r a h a j a + a k ai r e t a	grahaia akaireta			
317	None	1 403 404	nit (louse egg)	267	Abipon	n+oata+RanatRa	_:pos ? ?	Guaicuruan	n + w a t a + ʁ a n a t ʁ a	n+oata+RanatRa			
318	n a p i g i n i k	1 405 406	dove	1853	Abipon	napiginik		Guaicuruan	n a p i g i n i k	napiginik			
319	k a e p e ʁ h a q	407 408	crocodile, alligator	1857	Abipon	kaëpeRhaq		Guaicuruan	k a e p e ʁ h a q	kaëpeRhaq			
320	None	409	crocodile, alligator	1857	Abipon	peoe		Guaicuruan	p e w e	peoe			
321	None	410 411 412	mouse, rat	2139	Abipon	p+atag+ink		Guaicuruan	p + a t a g + i n k	p+atag+ink			
322	a h e r g + ʁ a n ʁ ai k	413 414	boar	1348	Abipon	aherg+RanRaik		Guaicuruan	a h e r g + ʁ a n ʁ ai k	aherg+RanRaik			chancho, jabalí
323	a h e r g + ʁ a n ʁ ai + l a t e	413 414 415	boar	1348	Abipon	aherg+RanRai+late	? big	Guaicuruan	a h e r g + ʁ a n ʁ ai + l a t e	aherg+RanRai+late			puerco
324	w a h a g + ʁ a j e	413 414	boar	1348	Abipon	oahag+Raie		Guaicuruan	w a h a g + ʁ a j e	oahag+Raie			
325	None	297 6	livestock	631	Abipon	oaka+l	cow _:poss	Guaicuruan	w a k a + l	oaka+l			
326	tʃ a g a + iː + a l e + k	416 417 418 17	lamb	820	Abipon	caga ii+ale+k	? ? _:masc	Guaicuruan	tʃ a g a + iː + a l e + k	caga ii+ale+k			
327	None	419	duck	1360	Abipon	kaenRa		Guaicuruan	k a e n ʁ a	kaenRa			pato real; con n- solo pato (?)
328	None	420	duck	1360	Abipon	roakaoi		Guaicuruan	r w a k a w i	roakaoi			
329	n a l a g i ŋ k	421 422	snail	1543	Abipon	nalagink		Guaicuruan	n a l a g i ŋ k	nalagink			
330	j a w i g e + l + i tʃ i + l	423 6 424 6	heron	758	Abipon	iaoige l+ici+l	_:poss ? _:poss	Guaicuruan	j a w i g e + l + i tʃ i + l	iaoige l+ici+l			patas rojas
331	l i tʃ e ʁ a	6 425 3	fox	1312	Abipon	liceRa		Guaicuruan	l i tʃ e ʁ a	liceRa			
332	None	426	rabbit	1136	Abipon	kañan		Guaicuruan	k a ɲ a n	kañan			
333	None	427	rabbit	1136	Abipon	neoege		Guaicuruan	n e w e g e	neoege			conejo chico
334	None	428	insect	620	Abipon	oapa		Guaicuruan	w a p a	oapa			
335	None	429 430 89	lion	1386	Abipon	ihi+Ri+hegem	? _:up	Guaicuruan	i h i + ʁ i + h e g e m	ihi(Ri)+hegem			raíz ihiR con tigre también. No sé a qué animales se refiere
336	None	431	crow	913	Abipon	hapeo		Guaicuruan	h a p e o	hapeo			
337	None	432	crow	913	Abipon	oaeñik		Guaicuruan	w a e ɲ i k	oaeñik			
338	r a t e g h ai n	433	crow	913	Abipon	rateghain		Guaicuruan	r a t e g h ai n	rateghain			
339	None	434	foal, colt	1647	Abipon	patara		Guaicuruan	p a t a r a	patara			hispanismo
340	a h e p e g a q	435	horse (equine)	615	Abipon	ahëpegaq		Guaicuruan	a h e p e g a q	ahëpegaq			
341	None	1 436 437	pasture	649	Abipon	n+ehao+atek	_:pos ? ?	Guaicuruan	n + e h a o + a t e k	n+ehao+atek			
342	None	438	scorpion	1538	Abipon	epal		Guaicuruan	e p a l	epal			
343	k e p a l k a t ai + l + a t e	439 6 80	scorpion	1538	Abipon	kepalkatai+l+ate	_:poss mother	Guaicuruan	k e p a l k a t ai + l + a t e	kepalkatai+l+ate			Alacrán
344	a j e r e	440	chicken	1318	Abipon	aiere		Guaicuruan	a j e r e	aiere			
345	None	441 442	ram	1344	Abipon	ahat+enka		Guaicuruan	a h a t + e n k a	ahat+enka			Pl. raiz saltar
346	None	443	mule	890	Abipon	ketelq		Guaicuruan	k e t e l q	ketelq			
347	l e + h a	6 444	fishscale	266	Abipon	l+eha	_:poss fishscale	Guaicuruan	l e + h a	leha			
348	n e t e g ʁ a n a k	1 445 15 446	goose	1187	Abipon	netegRanak		Guaicuruan	n e t e g ʁ a n a k	netegRanak			
349	None	445	goose	1187	Abipon	neketetak		Guaicuruan	n e k e t e t a k	neketetak			
350	None	447	butterfly	1791	Abipon	kela		Guaicuruan	k e l a	kela			
351	None	297 6	cattle (bovine)	1153	Abipon	oaka+l	cow _:poss	Guaicuruan	w a k a + l	oaka+l			
352	a k ai r e t a	448 449	sheep	1331	Abipon	akaireta		Guaicuruan	a k ai r e t a	akaireta			Most likely a cognate of 'qagueta'
353	None	449	sheep	1331	Abipon	caga		Guaicuruan	tʃ a g a	caga			
354	None	1 450 451	freshwater eel	1013	Abipon	n+ao+in	_:pos ? ?	Guaicuruan	n + a o + i n	n+ao+in			
355	i w i h a k	452 17	bull	1008	Abipon	ioihak		Guaicuruan	i w i h a k	ioihak			
356	j e g o	453	mare	938	Abipon	iego		Guaicuruan	j e g o	iego			hisp?
357	i w i h a k	454 17	ox	1169	Abipon	ioihak	_:masc	Guaicuruan	i w i h a k	ioihak			
358	h e t ei ʁ ei	455 456	bear	1820	Abipon	heteiRei		Guaicuruan	h e t ei ʁ ei	heteiRei			
359	aː k tʃ i ɲ i	457	ass, donkey	1862	Abipon	aakciñi		Guaicuruan	aː k tʃ i ɲ i	aakciñi			Controversial
360	k a t ai g i t	17 18 458	hawk	307	Abipon	kataigit		Guaicuruan	k a t ai g i t	kataigit			Najlis said it's related to the verb 'move', but it also looks like a cognate of Mocoví
361	n aː t e k	459	wasp	1517	Abipon	naatek		Guaicuruan	n aː t e k	naatek			lechiguana
362	n a h a o r e k	1 460 461	wasp	1517	Abipon	nahaorek		Guaicuruan	n a h a o r e k	nahaorek			lechiguana
363	None	1 462 463	cure, heal	499	Abipon	n+oeta+ren	_:pos ? ?	Guaicuruan	n + w e t a + r e n	n+oeta+ren			
364	None	464 20 465 466	deaf	996	Abipon	cig r+oahipat+apek	_:3p ? ?	Guaicuruan	tʃ i g + r + w a h i p a t + a p e k	cig r+oahipat+apek			No lo oye
365	w a t	467	defecate	676	Abipon	-oat-		Guaicuruan	w a t	-oat-			
366	None	1 468	rib	801	Abipon	n+icahe	_:pos ?	Guaicuruan	n + i tʃ a h e	n+icahe			
367	None	6 469 9	breathe, breath	3183	Abipon	l+oak+Rat	_:poss ? _:nmlz	Guaicuruan	l + w a k + ʁ a t	l+oak+Rat			
368	i + a h aː t	53 470	have sexual intercourse	1785	Abipon	i+ahaat	_/i ?	Guaicuruan	i + a h aː t	i+ahaat			
369	a w i r	471	have sexual intercourse	1785	Abipon	-aoir-		Guaicuruan	a w i r	-aoir-			
370	k ai t + ai k	472 473	bald	1125	Abipon	kait+aik		Guaicuruan	k ai t + ai k	kait+aik			
371	j + a r e	53 474	eyelash	1540	Abipon	i+are	_:poss eyelash	Guaicuruan	j + a r e	iare			Cognate with the Mocoví form
372	n + aː p + k a tʃ i t	1 475 476	tired, weary	1757	Abipon	n+aap+kacit	_:pos ? ?	Guaicuruan	n + aː p + k a tʃ i t	n+aap+kacit			
373	None	164	tired, weary	1757	Abipon	anam	finish	Guaicuruan	a n a m	anam			
374	aː l ʁ a n k a + t a k	477 478	lazy	1564	Abipon	aalRanka+tak		Guaicuruan	aː l ʁ a n k a + t a k	aalRanka+tak			Parece tener morfema durativo. Raiz aal
375	i + a m + e n ʁ a j e	53 479 480	pregnant	1123	Abipon	i+am+enRaie	_/i ? ?	Guaicuruan	i + a m + e n ʁ a j e	i+am+enRaie			de am: parir?
376	n + k ai p a	1 481	eyebrow	1173	Abipon	n+kaipa	_:pos ?	Guaicuruan	n + k ai p a	n+kaipa			
377	k a t a i k + l a tʃ a ʁ h a q a	17 18 482 483	footprint	318	Abipon	kataik lacaRhaqa	? ?	Guaicuruan	k a t a i k + l a tʃ a ʁ h a q a	kataik lacaRhaqa			
378	l w a h a g ʁ a n ʁ a t	6 484 15 9	poison	655	Abipon	loahagRanRat		Guaicuruan	l w a h a g ʁ a n ʁ a t	loahagRanRat			
379	None	1 485 486	cough	879	Abipon	n+ehatm+atRa	_:pos ? ?	Guaicuruan	n + e h a t m + a t ʁ a	n+ehatm+atRa			¿atma? lo vi en otro lado
380	None	487	urinate	592	Abipon	oaci		Guaicuruan	w a tʃ i	oaci			
381	None	488 489	sick, sickness	1847	Abipon	ha+oacin		Guaicuruan	h a + w a tʃ i n	ha+oacin			Noun: ioacin+Ra
382	n + eː l g + e t a p e k	1 490 491	lick	319	Abipon	n+eelg+etapek	_:pos ? ?	Guaicuruan	n + eː l g + e t a p e k	n+eelg+etapek			
383	None	492	live, living, life	3184	Abipon	atat		Guaicuruan	a t a t	atat			verb
384	None	6 492 3	live, living, life	3184	Abipon	l+atat+Ra	_:poss ? _:nmlz	Guaicuruan	l + a t a t + ʁ a	l+atat+Ra			
385	e l ei + ʁ a	493 3	live, living, life	3184	Abipon	elei+Ra	_:nmlz	Guaicuruan	e l ei + ʁ a	elei+Ra			vida
386	None	494	naked, bare	590	Abipon	aori		Guaicuruan	a o r i	aori			
387	n + a k ai n w o + g e	1 495 210	stab	3189	Abipon	n+akainoo+ge	_:pos ? _:toward	Guaicuruan	n + a k ai n w o + g e	n+akainoo+ge			
388	None	53 496	calf of leg	498	Abipon	i+ñate	_/i ?	Guaicuruan	i + ɲ a t e	i+ñate			
389	a k a m	497	womb	804	Abipon	akam		Guaicuruan	a k a m	akam			
390	None	6 498	vein, artery	525	Abipon	l+etata	_:poss vein	Guaicuruan	l + e t a t a	letata			
391	None	53 499	buttocks	834	Abipon	i+ahapi	_/i ?	Guaicuruan	i + a h a p i	i+ahapi			
392	None	53 500	medicine, drug	1372	Abipon	i+oeta	_/i ?	Guaicuruan	i + w e t a	i+oeta			También "tabaco" (?)
393	k i h o g + e t ʁ ai k	501 502	intoxicated	1463	Abipon	kihog+etRaik		Guaicuruan	k i h o g + e t ʁ ai k	kihog+etRaik			borracho
394	eː g a l	503	shiver	52	Abipon	eegal		Guaicuruan	eː g a l	eegal			
395	None	1 504 505	molartooth	1049	Abipon	n+atag+Re	_:pos ? ?	Guaicuruan	n + a t a g + ʁ e	n+atag+Re			
396	None	6 506 507	wound, sore	1109	Abipon	l+oate+l	_:poss ? _:poss	Guaicuruan	l + w a t e + l	l+oate+l			
397	None	508	iron	621	Abipon	lekat		Guaicuruan	l e k a t	lekat			T. plata, acero, galón, metal en general
398	None	1 509 15 510 511	forge	288	Abipon	n+atiha+Ran+Re+ki	_:pos ? _:suf.v ? ?	Guaicuruan	n + a t i h a + ʁ a n + ʁ e + k i	n+atiha+Ran+Re+ki			
399	None	6 512 178	window	1375	Abipon	l+aham aolk	_:poss door small	Guaicuruan	l + a h a m + a o l k	laham aolk			
400	g n a k i r e k	513 514	cousin	1643	Abipon	gnakirek		Guaicuruan	g n a k i r e k	gnakirek			
401	n a ɲ a ʁ a	1 515 3	place	723	Abipon	nañaRa		Guaicuruan	n a ɲ a ʁ a	nañaRa			
402	None	516 517	fear, fright	781	Abipon	ri+elk		Guaicuruan	r i + e l k	ri+elk			1°s
403	None	1 518 3	fear, fright	781	Abipon	n+etac+Ra	_:pos ? _:nmlz	Guaicuruan	n + e t a tʃ + ʁ a	n+etac+Ra			
404	None	519	join, unite	1743	Abipon	añ		Guaicuruan	a ɲ	añ			
405	None	520	join, unite	1743	Abipon	ici		Guaicuruan	i tʃ i	ici			
406	w a p a + ʁ ai k	521 522	insane, crazy	1899	Abipon	oapa+Raik		Guaicuruan	w a p a + ʁ ai k	oapa+Raik			
407	None	6 523	shade, shadow	1388	Abipon	l+kihi	_:poss shade	Guaicuruan	l + k i h i	lkihi			Also 'soul'. This may be another case of glottal stop being writen as 'h' by old scribes
408	e j e r	524	write	1672	Abipon	eier-		Guaicuruan	e j e r	eier-			
409	None	525 526	garden-house	403	Abipon	kaëpe+Rita		Guaicuruan	k a e p e + ʁ i t a	kaëpe+Rita			huerta, empalizadas
410	None	527 528 15	pity	1141	Abipon	ñi+kaoag+Ran	? _:suf.v	Guaicuruan	ɲ i + k a w a g + ʁ a n	ñi+kaoag+Ran			1°
411	None	529	pity	1141	Abipon	icigre		Guaicuruan	i tʃ i g r e	icigre			
412	None	1 530 531	perjury	1792	Abipon	n+oahareg+iñi	_:pos ? ?	Guaicuruan	n + w a h a r e g + i ɲ i	n+oahareg+iñi			
413	l eː t ʁ a	6 3839 3	altar	853	Abipon	lëëtRa		Guaicuruan	l eː t ʁ a	lëëtRa			
414	l + i tʃ i l + l + e l a m + ʁ e k j e	6 533 6 534 535	stocking, sock	329	Abipon	l+icil l+elam+Rekie	_:poss ? _:poss ? ?	Guaicuruan	l + i tʃ i l + l + e l a m + ʁ e k j e	l+icil l+elam+Rekie			ropa de sus piernas
415	None	536 15 9	paint (noun)	647	Abipon	kacil+Ran+Rat	_:suf.v _:nmlz	Guaicuruan	k a tʃ i l + ʁ a n + ʁ a t	kacil+RanRat			tinta
416	i ɲ j e g a	136	summer	1342	Abipon	iñiega		Guaicuruan	i ɲ j e g a	iñiega			Also year and algarrobo flower
417	t + u ɣʷ ɨ	537 538	blood	946	Ava	t+ugwɨ	_:poss blood	Tupian	t + u ɣʷ ɨ	tugwɨ			
418	None	539 540	eye	1248	Ava	h+esa	:3RD ?	Tupian	h + e s a	h+esa			
419	dʒ u r u	541 542	mouth	674	Ava	juru		Tupian	dʒ u r u	chejuru			
420	ã k a	541 543	head	1256	Ava	ãka		Tupian	ã k a	cheãka			
421	None	541 544	liver	1224	Ava	che+pɨa	:1ST liver	Tupian	tʃ e + p ɨ a	che+pɨa			
422	p o	541 545	hand	1277	Ava	po		Tupian	p o	chẽpo			
423	None	541 546	nose	1221	Ava	chẽ+tĩ	:1ST ?	Tupian	tʃ ẽ + t ĩ	chẽ+tĩ			
424	n a ⁿb i	547	ear	1247	Ava	nambi		Tupian	n a ⁿb i	nambi			
425	ʋ a t a	21	walk	1443	Ava	wata		Tupian	ʋ a t a	wata			
426	ɨ ʋ ɨ + t u	548 549	wind	960	Ava	ɨwɨ+tu		Tupian	ɨ ʋ ɨ + t u	ɨwɨ+tu			
427	p ɨ̃ t a	550	red	156	Ava	pɨ̃ta		Tupian	p ɨ̃ t a	pɨ̃ta			
428	h + u p i a	539 551	egg	744	Ava	h+upia	:3RD ?	Tupian	h + u p i a	h+upia			
429	None	552	suck	1421	Ava	aere		Tupian	a e r e	aere; pɨte			
430	None	25	suck	1421	Ava	pɨte		Tupian	p ɨ t e	aere; pɨte			
431	e tʃ a	553	see	1409	Ava	echa	eye	Tupian	e tʃ a	echa; esa			
432	e s a	553	see	1409	Ava	esa	eye	Tupian	e s a	echa; esa			
433	m e	541 555	husband	1200	Ava	me		Tupian	m e	chẽme			
434	h + e ⁿb i r e k o	539 28 556	wife	1199	Ava	h+embireko	_:poss wife	Tupian	h + e ⁿb i r e k o	hembireko			
435	e ⁿd u	557	hear	1408	Ava	endu		Tupian	e ⁿd u	endu			
436	ɣʷ ɨ r a	558	bird	937	Ava	gwɨra		Tupian	ɣʷ ɨ r a	gwɨra			
437	p i r a	559	fish	227	Ava	pira		Tupian	p i r a	pira			
438	s e ʋ o i	560	worm	1219	Ava	sewoi		Tupian	s e ʋ o i	sewoi			
439	ⁿb oi	561	snake	730	Ava	mboi		Tupian	ⁿb oi	mboi			
440	k ɨ	541 562	louse	1392	Ava	kɨ		Tupian	k ɨ	chekɨ; kɨɨ			
441	None	562	louse	1392	Ava	kɨɨ		Tupian	k ɨ ɨ	chekɨ; kɨɨ			
442	h + ɨ ⁿb a	539 563	dog	2009	Ava	h+ɨmba	_:poss dog	Tupian	h + ɨ ⁿb a	hɨmba			
443	k u	541 564	tongue	1205	Ava	ku		Tupian	k u	chẽku; kũu			
444	k ũ u	564	tongue	1205	Ava	kũu		Tupian	k ũ u	chẽku; kũu			
445	None	541 565	neck	1333	Ava	che+aju	:1ST ?	Tupian	tʃ e + a dʒ u	che+aju; i+jaju			
446	None	566 565	neck	1333	Ava	i+jaju		Tupian	i + dʒ a dʒ u	che+aju; i+jaju			
447	k a ⁿb ɨ	567	breast (of woman)	1402	Ava	kambɨ		Tupian	k a ⁿb ɨ	kambɨ			
448	p e p o	541 568	wing	1257	Ava	che+pepo		Tupian	p e p o	chepepo			
449	k u p e	541 569	back	1291	Ava	kupe		Tupian	k u p e	kupe			
450	k ã n ɣʷ e	570	bone	1394	Ava	kãngwe		Tupian	k ã n ɣʷ e	kãngwe			
451	t ɨ̃ m a	541 571	leg	1297	Ava	tɨ̃ma		Tupian	t ɨ̃ m a	chetɨ̃ma; chetɨ̃maka			
452	t ɨ̃ m a k a	541 571	leg	1297	Ava	tɨ̃maka		Tupian	t ɨ̃ m a k a	chetɨ̃ma; chetɨ̃maka			
453	p ɨ	541 572	foot	1301	Ava	pɨ		Tupian	p ɨ	chẽpɨ			
454	None	539 573	tooth	1380	Ava	h+ãi	:3RD ?	Tupian	h + ã i	h+ãi			
455	k o r a s õ	541 574	heart	1223	Ava	korasõ		Tupian	k o r a s õ	chekorasõ; pɨa			
456	None	575	heart	1223	Ava	pɨa		Tupian	p ɨ a	chekorasõ; pɨa			
457	k e	576	sleep	1585	Ava	ake		Tupian	k e	ake			
458	h + u w ai	539 577	tail	1220	Ava	h+uwai	_:poss tail	Tupian	h + u w ai	huwai			
459	ai tʃ uː	67	bite	1403	Ava	aichuu		Tupian	ai tʃ uː	aichuu; suu			
460	s uː	578	bite	1403	Ava	suu		Tupian	s uː	aichuu; suu			
